,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Score,ScoreLabels
60,37,0,77,0,336,4910,41,-258,-298,True,Medium
1984,37,0,21,-3939,6,0,-16,16,32,True,High
2654,79,-1,83,-10,436,6339,4,-353,-356,True,Medium
3137,42,0,81,0,42,2356,39,40,0,True,Low
3769,37,-4184,106,40,34,-10,69,72,4,True,Medium
3875,41,237,78,0,38,-2385,37,39,2,True,Low
4037,37,-4624,76,3,36,4,39,40,2,True,Medium
4599,111,4254,105,0,36,0,-6,69,76,True,Medium
5124,37,0,141,2006,34,0,104,107,4,True,High
6029,37,0,75,0,28,3776,38,46,8,True,Medium
7379,37,0,77,0,28,11749,40,48,8,True,High
8064,123,4903,104,-3,36,-6,-18,68,86,True,High
8388,120,1349,76,4,36,5,-43,40,84,True,Low
8455,78,0,81,-1,-40,7973,4,123,120,True,Medium
8727,37,-1521,106,-1,36,13,69,69,0,True,Low
9033,37,0,77,0,36,3498,39,41,2,True,Medium
9077,37,0,77,0,-188,-12809,39,265,226,True,High
9145,37,0,76,463,24,1,39,53,14,True,Low
10121,45,0,85,0,44,3619,41,41,0,True,Medium
11368,37,0,76,2565,20,0,40,55,16,True,High
11537,79,1958,82,-3,44,-5,3,38,34,True,Medium
11908,37,-4048,105,0,36,0,68,69,0,True,Medium
13453,37,-3700,106,-1,34,-2,69,72,4,True,Medium
13942,37,0,90,501,6,0,53,85,32,True,Low
14276,101,0,102,0,72,4122,1,30,28,True,Medium
14952,37,-1369,106,-1,34,-2,69,72,4,True,Low
15797,45,-1,149,3830,44,0,105,105,0,True,High
17968,46,0,107,1167,46,0,61,60,0,True,Medium
18508,85,0,88,-587,0,0,3,88,84,True,Low
18617,43,0,76,692,42,-3,33,35,2,True,Medium
18876,123,1409,105,1,36,-5,-18,69,86,True,Low
19181,37,-1,80,-1,-160,-11042,43,240,196,True,High
19665,37,0,79,0,-40,-2944,42,121,78,True,Low
20999,55,0,29,-674,-22,-1,-26,52,78,True,Medium
21391,105,3328,86,-2,46,0,-19,39,58,True,Medium
23860,37,0,106,575,34,-3,69,72,4,True,Low
23912,45,0,82,-495,44,0,37,38,0,True,Low
24643,37,-2544,106,-2,34,-10,69,72,4,True,Medium
24665,37,-1329,76,3,36,3,39,40,2,True,Low
25583,85,0,88,-2044,0,0,3,88,84,True,High
25586,79,-6,83,-3,-32,3799,4,117,112,True,Medium
27403,53,3,81,0,54,13148,27,26,0,True,High
27633,78,0,81,-1,-188,-8392,4,270,266,True,Medium
27843,120,4692,76,5,36,6,-43,40,84,True,Medium
28065,46,0,86,-1108,46,0,40,40,0,True,Medium
28169,64,1532,77,0,20,0,14,57,44,True,Low
28470,37,-4475,106,-4,30,17,69,75,6,True,Medium
30196,37,0,90,3743,6,0,53,85,32,True,High
30899,78,0,81,0,-40,2292,4,123,120,True,Low
31130,103,3447,76,0,42,0,-27,35,62,True,Medium
31926,49,0,86,0,50,2797,37,37,0,True,Low
33560,55,0,82,0,54,3092,26,28,2,True,Low
34011,37,-4821,77,0,20,-1,40,56,16,True,Medium
35349,44,-1864,88,0,44,0,44,44,0,True,Low
35717,37,0,79,0,10,2797,42,69,26,True,Low
36209,126,5075,77,0,20,-1,-48,56,104,True,High
37207,44,-1865,82,-2,44,-4,38,38,0,True,Low
37431,45,0,85,0,44,12588,41,41,0,True,High
39378,45,0,88,0,44,2503,42,44,2,True,Low
39592,37,-2460,105,0,36,0,68,69,0,True,Medium
41160,37,-1521,77,0,20,0,40,57,16,True,Low
41201,116,4501,106,-2,30,47,-10,75,84,True,Medium
42529,64,1532,106,-2,34,-35,42,72,30,True,Low
43239,114,4400,106,50,34,-13,-8,72,80,True,Medium
43504,79,1963,88,0,44,0,9,44,34,True,Medium
44581,91,3049,106,-4,36,1,15,69,54,True,Medium
45182,47,-3161,86,-2,46,0,39,39,0,True,Medium
45328,37,0,77,0,36,12169,39,41,2,True,High
45505,79,-1,83,-10,-32,-26739,4,117,112,True,High
46091,37,0,77,0,28,3378,40,48,8,True,Low
46426,82,2561,106,-4,34,-20,24,72,48,True,Medium
46742,45,0,118,1751,310,15164,73,-191,-264,True,Medium
47031,79,0,83,0,98,8098,4,-14,-18,True,Medium
48726,37,0,76,737,20,0,40,55,16,True,Medium
